alcohol_*C1_electrostatic_charge,alcohol_*C1_exposed_area,alcohol_electronegativity,alcohol_primary,alcohol_secondary,alcohol_tertiary,alcohol_cyclic ,alcohol_4-membered_ring,alcohol_5-membered_ring,alcohol_6-membered_ring,alcohol_7-membered_ring,alcohol_benzylic,alcohol_allylic,alcohol_homobenzylic,alcohol_homoallylic,alcohol_alpha-carbonyl,alcohol_beta_carbonyl,alcohol_hemiacetal,alcohol_alpha amino,base_*N1_exposed_area,sulfonyl_fluoride_*S1_electrostatic_charge,sulfonyl_fluoride_*F1_electrostatic_charge,sulfonyl_fluoride_*O1_electrostatic_charge,yield
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,60
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,61
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,57
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.973,-0.204,-0.43,57
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,0.926,-0.162,-0.384,50
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.21,-0.439,86
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.849,-0.198,-0.401,80
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.978,-0.208,-0.436,79
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.973,-0.204,-0.43,85
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.069,0.926,-0.162,-0.384,73
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.21,-0.439,87
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.849,-0.198,-0.401,82
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.978,-0.208,-0.436,85
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.973,-0.204,-0.43,79
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.727,0.926,-0.162,-0.384,74
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.21,-0.439,80
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.849,-0.198,-0.401,80
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.978,-0.208,-0.436,75
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.973,-0.204,-0.43,76
0.048,13.793,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.305,0.926,-0.162,-0.384,80
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7.397,0.973,-0.21,-0.439,32
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7.397,0.849,-0.198,-0.401,46
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7.397,0.978,-0.208,-0.436,38
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7.397,0.973,-0.204,-0.43,44
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,7.397,0.926,-0.162,-0.384,60
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6.069,0.973,-0.21,-0.439,32
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6.069,0.849,-0.198,-0.401,43
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6.069,0.978,-0.208,-0.436,37
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6.069,0.973,-0.204,-0.43,38
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6.069,0.926,-0.162,-0.384,62
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.727,0.973,-0.21,-0.439,20
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.727,0.849,-0.198,-0.401,33
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.727,0.978,-0.208,-0.436,27
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.727,0.973,-0.204,-0.43,30
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,4.727,0.926,-0.162,-0.384,64
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5.305,0.973,-0.21,-0.439,16
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5.305,0.849,-0.198,-0.401,20
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5.305,0.978,-0.208,-0.436,19
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5.305,0.973,-0.204,-0.43,14
0.4,7.05,0.11,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,5.305,0.926,-0.162,-0.384,64
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.397,0.973,-0.21,-0.439,16
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.397,0.849,-0.198,-0.401,18
-0.106,14.464,0.14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.397,0.978,-0.208,-0.436,16
